漢方名,ひらがな,フリガナ,検索用,配合生薬
柴陥湯,さいかんとう,サイカントウ,柴陥湯(さいかんとう),柴胡、黄芩、人参、甘草、大棗、生姜、半夏、黄連、栝楼仁
柴胡加竜骨牡蛎湯,さいこかりゅうこつぼれいとう,サイコカリュウコツボレイトウ,柴胡加竜骨牡蛎湯(さいこかりゅうこつぼれいとう),柴胡、黄芩、桂皮、茯苓、半夏、大黄、竜骨、牡蛎、人参、生姜、大棗
柴胡桂枝乾姜湯,さいこけいしかんきょうとう,サイコケイシカンキョウトウ,柴胡桂枝乾姜湯(さいこけいしかんきょうとう),柴胡、黄芩、桂皮、乾姜、栝楼根、牡蛎、甘草
柴胡桂枝湯,さいこけいしとう,サイコケイシトウ,柴胡桂枝湯(さいこけいしとう),柴胡、黄芩、桂皮、芍薬、半夏、人参、甘草、大棗、生姜
柴胡清肝湯,さいこせいかんとう,サイコセイカントウ,柴胡清肝湯(さいこせいかんとう),柴胡、当帰、芍薬、川芎、地黄、黄連、黄芩、黄柏、山梔子、栝楼根、桔梗、薄荷、連翹、牛蒡子、甘草
柴胡疏肝湯,さいこそかんとう,サイコソカントウ,柴胡疏肝湯(さいこそかんとう),柴胡、芍薬、枳実、甘草、川芎、香附子、青皮
柴芍六君子湯,さいしゃくりっくんしとう,サイシャクリックンシトウ,柴芍六君子湯(さいしゃくりっくんしとう),人参、白朮、茯苓、半夏、陳皮、甘草、生姜、大棗、柴胡、芍薬
柴朴湯,さいぼくとう,サイボクトウ,柴朴湯(さいぼくとう),柴胡、黄芩、人参、甘草、大棗、生姜、半夏、厚朴、茯苓、蘇葉
柴苓湯,さいれいとう,サイレイトウ,柴苓湯(さいれいとう),柴胡、黄芩、大棗、人参、甘草、生姜、半夏、沢瀉、猪苓、茯苓、白朮、桂皮
参茸補血丸,さんじょうほけつがん,サンジョウホケツガン,参茸補血丸(さんじょうほけつがん),人参、黄耆、杜仲、牛膝、当帰、鹿茸、巴戟天、竜眼肉
三黄瀉心湯,さんおうしゃしんとう,サンオウシャシントウ,三黄瀉心湯(さんおうしゃしんとう),黄連、黄芩、大黄
酸棗仁湯,さんそうにんとう,サンソウニントウ,酸棗仁湯(さんそうにんとう),酸棗仁、川芎、茯苓、知母、甘草
三物黄芩湯,さんもつおうごんとう,サンモツオウゴントウ,三物黄芩湯(さんもつおうごんとう),黄芩、苦参、地黄
滋陰降火湯,じいんこうかとう,ジインコウカトウ,滋陰降火湯(じいんこうかとう),地黄、天門冬、麦門冬、当帰、芍薬、陳皮、白朮、知母、黄柏、甘草
滋陰至宝湯,じいんしほうとう,ジインシホウトウ,滋陰至宝湯(じいんしほうとう),当帰、芍薬、白朮、茯苓、陳皮、柴胡、知母、香附子、地骨皮、麦門冬、貝母、薄荷、甘草
四逆散,しぎゃくさん,シギャクサン,四逆散(しぎゃくさん),柴胡、芍薬、枳実、甘草
四君子湯,しくんしとう,シクンシトウ,四君子湯(しくんしとう),人参、白朮、茯苓、甘草、生姜、大棗
滋腎通耳湯,じじんつうじとう,ジジンツウジトウ,滋腎通耳湯(じじんつうじとう),地黄、当帰、芍薬、川芎、柴胡、黄芩、香附子、白芷、知母、黄柏
七物降下湯,しちもつこうかとう,シチモツコウカトウ,七物降下湯(しちもつこうかとう),当帰、芍薬、川芎、地黄、黄耆、黄柏、釣藤鈎
柿蒂湯,していとう,シテイトウ,柿蒂湯(していとう),丁子、柿蒂、生姜
四物湯,しもつとう,シモツトウ,四物湯(しもつとう),地黄、当帰、芍薬、川芎
炙甘草湯,しゃかんぞうとう,シャカンゾウトウ,炙甘草湯(しゃかんぞうとう),炙甘草、人参、大棗、地黄、麦門冬、麻子仁、生姜、桂皮、阿膠
芍薬甘草湯,しゃくやくかんぞうとう,シャクヤクカンゾウトウ,芍薬甘草湯(しゃくやくかんぞうとう),芍薬、甘草
十全大補湯,じゅうぜんたいほとう,ジュウゼンタイホトウ,十全大補湯(じゅうぜんたいほとう),人参、黄耆、白朮、茯苓、甘草、当帰、芍薬、地黄、川芎、桂皮
十味敗毒湯,じゅうみはいどくとう,ジュウミハイドクトウ,十味敗毒湯(じゅうみはいどくとう),柴胡、桜皮、桔梗、川芎、茯苓、独活、荊芥、防風、生姜、甘草
潤腸湯,じゅんちょうとう,ジュンチョウトウ,潤腸湯(じゅんちょうとう),当帰、地黄、大黄、麻子仁、桃仁、杏仁、枳実、厚朴、黄芩、甘草
生姜瀉心湯,しょうきょうしゃしんとう,ショウキョウシャシントウ,生姜瀉心湯(しょうきょうしゃしんとう),半夏、黄連、黄芩、乾姜、生姜、人参、大棗、甘草
小建中湯,しょうけんちゅうとう,ショウケンチュウトウ,小建中湯(しょうけんちゅうとう),桂皮、芍薬、生姜、大棗、甘草、膠飴
小柴胡湯,しょうさいことう,ショウサイコトウ,小柴胡湯(しょうさいことう),柴胡、黄芩、人参、甘草、大棗、生姜、半夏
